MSSV,HoTenSV,GioiTinh,MaLop,Email,DoB,TrangThai,CCCD,SDT
20230015,HOÀNG ĐỨC ANH,Nam,IT-E6-K68-03,anh.hd230015@sis.hust.edu.vn,2005-06-18,1,220560140181,0957404763
20230016,NGUYỄN KHOA BẰNG,Nam,IT-E6-K68-03,bang.nk230016@sis.hust.edu.vn,2005-11-27,1,208557780094,0932064602
20230017,TRƯƠNG CÔNG CẢNH,Nam,IT-E6-K68-03,canh.tc230017@sis.hust.edu.vn,2005-10-19,1,977556836770,0992584612
20230018,TRẦN HẬU CÔNG,Nam,IT-E6-K68-03,cong.th230018@sis.hust.edu.vn,2005-09-09,1,696560154386,0970526242
20230019,NGUYỄN CHÍ DŨNG,Nam,IT-E6-K68-03,dung.nc230019@sis.hust.edu.vn,2005-12-29,1,436631679010,0906737115
20230020,NGUYỄN QUANG DŨNG,Nam,IT-E6-K68-03,dung.nq230020@sis.hust.edu.vn,2005-08-15,1,026960788319,0993269049
20230021,NGUYỄN TẤN DŨNG,Nam,IT-E6-K68-03,dung.nt230021@sis.hust.edu.vn,2005-12-05,1,582570143586,0911477926
20230022,NGUYỄN ĐÌNH ĐĂNG DƯƠNG,Nam,IT-E6-K68-03,duong.ndd230022@sis.hust.edu.vn,2005-12-03,1,826185909869,0978659179
20230023,NGUYỄN TÙNG DƯƠNG,Nam,IT-E6-K68-03,duong.nt230023@sis.hust.edu.vn,2005-03-14,1,454401271840,0991223100
20230024,NGUYỄN TÙNG DƯƠNG,Nam,IT-E6-K68-03,duong.nt230024@sis.hust.edu.vn,2005-11-30,1,197951252756,0925306327
20230025,TRẦN HUY DƯƠNG,Nam,IT-E6-K68-04,duong.th230025@sis.hust.edu.vn,2005-03-02,1,671462632409,0959812337
20230026,ĐỖ NGỌC HOÀNG HẢI,Nam,IT-E6-K68-03,hai.dnh230026@sis.hust.edu.vn,2005-06-30,1,976229017578,0908677498
20230027,SÁI VĂN HIẾU,Nam,IT-E6-K68-04,hieu.sv230027@sis.hust.edu.vn,2005-02-05,1,505187918902,0926561466
20230028,LÊ MINH HOÀNG,Nam,IT-E6-K68-03,hoang.lm230028@sis.hust.edu.vn,2005-09-08,1,812509577546,0926570393
20230029,NGUYỄN BÁ HOÀNG,Nam,IT-E6-K68-03,hoang.nb230029@sis.hust.edu.vn,2005-08-13,1,890990979867,0965784312
20230030,NGUYỄN BÁ NHẬT HOÀNG,Nam,IT-E6-K68-03,hoang.nbn230030@sis.hust.edu.vn,2005-09-19,1,616242696173,0910768414
20230031,NGUYỄN VIỆT HOÀNG,Nam,IT-E6-K68-03,hoang.nv230031@sis.hust.edu.vn,2005-03-04,1,689692685091,0912541101
20230032,TRẦN TUẤN HOÀNG,Nam,IT-E6-K68-04,hoang.tt230032@sis.hust.edu.vn,2005-04-18,1,557977027779,0941365213
20230033,ĐINH VIỆT HÙNG,Nam,IT-E6-K68-03,hung.dv230033@sis.hust.edu.vn,2005-07-09,1,394329638587,0973069180
20230034,PHẠM TUẤN HÙNG,Nam,IT-E6-K68-04,hung.pt230034@sis.hust.edu.vn,2005-12-25,1,470470159752,0916027540
20230035,BÙI KHÁNH HƯNG,Nam,IT-E6-K68-03,hung.bk230035@sis.hust.edu.vn,2005-07-17,1,389966564616,0946900664
20230036,PHẠM GIA HƯNG,Nam,IT-E6-K68-04,hung.pg230036@sis.hust.edu.vn,2005-03-26,1,175133566535,0946864792
20230037,TĂNG TRẦN MẠNH HƯNG,Nam,IT-E6-K68-04,hung.ttm230037@sis.hust.edu.vn,2005-01-12,1,817838959226,0968325105
20230038,ĐINH GIA HUY,Nam,IT-E6-K68-03,huy.dg230038@sis.hust.edu.vn,2005-06-08,1,962738403084,0976393889
20230039,NGUYỄN QUANG HUY,Nam,IT-E6-K68-03,huy.nq230039@sis.hust.edu.vn,2005-08-31,1,931479302171,0936557985
20230041,NGUYỄN NGỌC KHÁNH,Nam,IT-E6-K68-03,khanh.nn230041@sis.hust.edu.vn,2005-07-19,1,033461390094,0907056742
20230042,HOÀNG MINH KHÔI,Nam,IT-E6-K68-03,khoi.hm230042@sis.hust.edu.vn,2005-06-21,1,252452968854,0905056260
20230043,PHẠM ANH KHÔI,Nam,IT-E6-K68-03,khoi.pa230043@sis.hust.edu.vn,2005-09-12,1,495454173996,0932558307
20230045,NGUYỄN QUỐC BẢO LONG,Nam,IT-E6-K68-03,long.nqb230045@sis.hust.edu.vn,2005-11-02,1,141552862843,0973101513
20230046,PHAN THẾ MẠNH,Nam,IT-E6-K68-04,manh.pt230046@sis.hust.edu.vn,2005-10-25,1,230417104652,0995904015
20230047,DƯƠNG THANH MINH,Nam,IT-E6-K68-03,minh.dt230047@sis.hust.edu.vn,2005-09-02,1,103949499413,0964262705
20230048,NGUYỄN ĐÌNH TUẤN MINH,Nam,IT-E6-K68-03,minh.ndt230048@sis.hust.edu.vn,2005-08-20,1,901286823583,0957855297
20230049,NGUYỄN TUẤN MINH,Nam,IT-E6-K68-03,minh.nt230049@sis.hust.edu.vn,2005-04-30,1,188904429961,0920886325
20230050,TRẦN QUANG MINH,Nam,IT-E6-K68-04,minh.tq230050@sis.hust.edu.vn,2005-09-05,1,477603033629,0976142542
20230051,TRẦN TUẤN MINH,Nam,IT-E6-K68-04,minh.tt230051@sis.hust.edu.vn,2005-11-13,1,374318045912,0958731399
20230052,TRƯƠNG NGUYÊN MINH,Nam,IT-E6-K68-04,minh.tn230052@sis.hust.edu.vn,2005-09-29,1,813615846274,0930613729
20230053,VŨ TUẤN MINH,Nam,IT-E6-K68-04,minh.vt230053@sis.hust.edu.vn,2005-08-28,1,089838942596,0953078287
20230054,TRẦN HOÀI NAM,Nam,IT-E6-K68-04,nam.th230054@sis.hust.edu.vn,2005-08-18,1,384397569470,0932963925
20230055,TRỊNH NGỌC NINH,Nam,IT-E6-K68-04,ninh.tn230055@sis.hust.edu.vn,2005-10-31,1,495003613173,0948610032
20230057,PHẠM CÔNG PHÚC,Nam,IT-E6-K68-04,phuc.pc230057@sis.hust.edu.vn,2005-10-11,1,945490801656,0926915307
20230058,MAI LÊ PHÚ QUANG,Nam,IT-E6-K68-03,quang.mlp230058@sis.hust.edu.vn,2005-09-17,1,509292989512,0973900576
20230059,NGÔ NHẬT QUANG,Nam,IT-E6-K68-03,quang.nn230059@sis.hust.edu.vn,2005-05-18,1,167149862430,0961873206
20230060,BÙI ĐÌNH SANG,Nam,IT-E6-K68-03,sang.bd230060@sis.hust.edu.vn,2005-11-10,1,592210757166,0910485762
20230061,NGUYỄN CÔNG SƠN,Nam,IT-E6-K68-03,son.nc230061@sis.hust.edu.vn,2005-11-07,1,747655900891,0942370665
20230062,ĐỖ VĂN TÀI,Nam,IT-E6-K68-03,tai.dv230062@sis.hust.edu.vn,2005-07-27,1,875565579045,0910670797
20230063,PHAN ANH TÀI,Nam,IT-E6-K68-04,tai.pa230063@sis.hust.edu.vn,2005-01-28,1,906843170436,0921409195
20230064,VŨ ĐỨC TÂM,Nam,IT-E6-K68-04,tam.vd230064@sis.hust.edu.vn,2005-10-14,1,349930303497,0910737567
20230065,TRẦN QUỐC THÁI,Nam,IT-E6-K68-04,thai.tq230065@sis.hust.edu.vn,2005-06-19,1,487087509117,0911331054
20230066,ĐẶNG QUANG THẮNG,Nam,IT-E6-K68-04,thang.dq230066@sis.hust.edu.vn,2005-12-04,1,105290218354,0918651949
20230067,LÊ QUÝ THÀNH,Nam,IT-E6-K68-04,thanh.lq230067@sis.hust.edu.vn,2005-07-12,1,616726843283,0952407576
20230068,PHẠM ĐÌNH THI,Nam,IT-E6-K68-04,thi.pd230068@sis.hust.edu.vn,2005-07-11,1,770198333794,0927876439
20230069,CAO HUY THỊNH,Nam,IT-E6-K68-04,thinh.ch230069@sis.hust.edu.vn,2005-02-09,1,083227029147,0957984197
20230070,NGUYỄN ANH TIẾN,Nam,IT-E6-K68-04,tien.na230070@sis.hust.edu.vn,2005-01-30,1,649528826260,0950811823
20230071,PHẠM HOÀNG TIẾN,Nam,IT-E6-K68-04,tien.ph230071@sis.hust.edu.vn,2005-09-05,1,592004713222,0943566890
20230072,NGUYỄN KHÁNH TOÀN,Nam,IT-E6-K68-04,toan.nk230072@sis.hust.edu.vn,2005-02-08,1,402330391483,0970464528
20230073,NGUYỄN NGỌC TOÀN,Nam,IT-E6-K68-04,toan.nn230073@sis.hust.edu.vn,2005-01-26,1,316235295791,0946724064
20230074,NGUYỄN NGỌC TRUNG,Nam,IT-E6-K68-04,trung.nn230074@sis.hust.edu.vn,2005-09-29,1,387497373286,0953576495
20230075,NGUYỄN THANH TÚ,Nam,IT-E6-K68-04,tu.nt230075@sis.hust.edu.vn,2005-03-22,1,516332706917,0997436868
20230076,NGUYỄN HÀ ANH TUẤN,Nam,IT-E6-K68-04,tuan.nha230076@sis.hust.edu.vn,2005-10-28,1,322845348457,0969112070
20230077,PHẠM BẢO YẾN,Nu,IT-E6-K68-04,yen.pb230077@sis.hust.edu.vn,2005-09-14,1,487067535041,0936197557
20230078,NGUYỄN XUÂN HOÀNG,Nam,IT-E6-K68-04,hoang.nx230078@sis.hust.edu.vn,2005-10-09,1,348675306279,0965744983
20230079,TRẦN VĂN PHONG,Nam,IT-E6-K68-04,phong.tv230079@sis.hust.edu.vn,2005-03-14,1,241223280542,0923376693
20230080,NGÔ ĐỨC ANH,Nam,IT-E6-K68-04,anh.nd230080@sis.hust.edu.vn,2005-11-12,1,445164850396,0952452348
20230082,ĐÀO NGỌC HÀ,Nu,IT-E6-K68-04,ha.dn230082@sis.hust.edu.vn,2005-05-24,1,287122909247,0986204411
20230084,NGÔ VŨ MINH,Nam,IT-E6-K68-04,minh.nv230084@sis.hust.edu.vn,2005-05-24,1,448851898730,0965812716
20230085,PHẠM NGUYỄN NHẬT MINH,Nam,IT-E6-K68-04,minh.pnn230085@sis.hust.edu.vn,2005-07-03,1,944080169260,0974601937
20230086,KHÚC NGỌC NAM,Nam,IT-E6-K68-04,nam.kn230086@sis.hust.edu.vn,2005-05-19,1,897856403978,0925122392
20230087,BÙI THỊ BÍCH NGỌC,Nu,IT-E6-K68-04,ngoc.btb230087@sis.hust.edu.vn,2005-07-07,1,562550428847,0905908040
20230088,LƯƠNG XUÂN NGUYÊN,Nam,IT-E6-K68-04,nguyen.lx230088@sis.hust.edu.vn,2005-02-16,1,607750788897,0986151274
20230089,LÊ TÂM QUANG,Nam,IT-E6-K68-04,quang.lt230089@sis.hust.edu.vn,2005-08-22,1,484311406020,0983701881
20230090,ĐẶNG HỮU QUYỀN,Nam,IT-E6-K68-04,quyen.dh230090@sis.hust.edu.vn,2005-09-09,1,732159890916,0914974303
20230092,PHẠM NGỌC TRINH,Nu,IT-E6-K68-04,trinh.pn230092@sis.hust.edu.vn,2005-02-09,1,552235549830,0931194866
20230093,PHAN ĐÌNH TRUNG,Nam,IT-E6-K68-04,trung.pd230093@sis.hust.edu.vn,2004-11-27,1,903036705127,0957933756
20230094,ĐOÀN THANH TÙNG,Nam,IT-E6-K68-04,tung.dt230094@sis.hust.edu.vn,2005-01-20,1,187577725562,0919987597
20230096,NGUYỄN ANH PHONG,Nam,IT-E6-K68-04,phong.na230096@sis.hust.edu.vn,2005-12-20,1,436646716144,0958360569
20230097,NGUYỄN TRƯỜNG SƠN,Nam,IT-E6-K68-04,son.nt230097@sis.hust.edu.vn,2005-12-06,1,608088353283,0928962471
20230098,LÊ KHẮC CƯỜNG,Nam,IT-E6-K68-04,cuong.lk230098@sis.hust.edu.vn,2005-07-13,1,623858543693,0925041860
